date,symbol,quantity,market_price
2017-12-05 00:00:00,603811.SH,4600.0,4.2884
2017-12-05 00:00:00,603838.SH,1700.0,11.1599
2017-12-05 00:00:00,603901.SH,2300.0,8.3852
2017-12-12 00:00:00,600692.SH,1900.0,10.2601
2017-12-12 00:00:00,603859.SH,1400.0,13.5713
2017-12-12 00:00:00,603888.SH,1200.0,15.8896
2017-12-25 00:00:00,600130.SH,6600.0,6.65
2017-12-29 00:00:00,300420.SZ,5300.0,3.7667
2017-12-29 00:00:00,300617.SZ,800.0,23.9588
2017-12-29 00:00:00,603758.SH,1800.0,10.6196
2018-01-10 00:00:00,600543.SH,3900.0,11.074
2018-01-18 00:00:00,000953.SZ,2500.0,7.75
2018-01-18 00:00:00,002213.SZ,1200.0,15.7666
2018-01-18 00:00:00,603823.SH,2500.0,7.9408
2018-01-26 00:00:00,000020.SZ,1400.0,14.12
2018-01-29 00:00:00,002625.SZ,1300.0,14.5353
2018-01-29 00:00:00,300290.SZ,3800.0,5.1554
2018-02-05 00:00:00,603010.SH,1900.0,10.1662
2018-02-13 00:00:00,000155.SZ,3400.0,5.8089
2018-02-13 00:00:00,002265.SZ,1800.0,10.6003
2018-02-13 00:00:00,002813.SZ,800.0,23.4819
2018-02-13 00:00:00,300375.SZ,4700.0,4.2287
2018-02-13 00:00:00,300562.SZ,1300.0,14.9717
2018-02-13 00:00:00,600249.SH,3900.0,5.1237
2018-02-13 00:00:00,600552.SH,3100.0,6.4112
2018-02-13 00:00:00,603036.SH,1700.0,11.2179
2018-02-13 00:00:00,603903.SH,1400.0,13.6716
2018-02-26 00:00:00,600475.SH,3500.0,5.6771
2018-03-02 00:00:00,002813.SZ,1400.0,28.6391
2018-03-07 00:00:00,600158.SH,3500.0,12.1176
2018-03-15 00:00:00,600249.SH,6900.0,6.5469
2018-03-26 00:00:00,603738.SH,4500.0,9.5577
2018-04-09 00:00:00,002265.SZ,3100.0,15.2087
2018-04-10 00:00:00,603036.SH,3100.0,13.8922
2018-04-10 00:00:00,603803.SH,1900.0,22.2444
2018-04-16 00:00:00,300562.SZ,2200.0,20.7657
2018-04-20 00:00:00,600400.SH,5100.0,3.8949
2018-04-20 00:00:00,603010.SH,3500.0,12.494
2018-04-24 00:00:00,000619.SZ,2900.0,6.7141
2018-04-24 00:00:00,002178.SZ,2600.0,7.62
2018-04-24 00:00:00,603017.SH,1800.0,10.5557
2018-05-08 00:00:00,600630.SH,2100.0,9.1648
2018-05-08 00:00:00,600676.SH,3600.0,5.4801
2018-05-08 00:00:00,600830.SH,2800.0,6.9509
2018-05-08 00:00:00,603006.SH,1800.0,11.0186
2018-05-08 00:00:00,603777.SH,1200.0,15.4211
2018-05-31 00:00:00,002397.SZ,3600.0,5.5081
2018-05-31 00:00:00,300201.SZ,4000.0,4.9602
2018-05-31 00:00:00,300269.SZ,2000.0,9.56
2018-06-15 00:00:00,603777.SH,2200.0,18.5329
2018-06-19 00:00:00,600237.SH,5600.0,3.5621
2018-06-20 00:00:00,000737.SZ,7000.0,2.8293
2018-06-20 00:00:00,002040.SZ,3000.0,6.5941
2018-06-20 00:00:00,002134.SZ,3100.0,6.26
2018-06-20 00:00:00,002287.SZ,1000.0,18.2073
2018-06-20 00:00:00,002485.SZ,1400.0,14.1799
2018-06-20 00:00:00,300076.SZ,4200.0,4.7414
2018-06-20 00:00:00,600261.SH,7700.0,2.592
2018-06-20 00:00:00,600533.SH,6600.0,3.0081
2018-06-20 00:00:00,600722.SH,4700.0,4.23
2018-06-20 00:00:00,601700.SH,6600.0,2.9958
2018-06-28 00:00:00,002134.SZ,5900.0,7.0
2018-06-29 00:00:00,300423.SZ,3500.0,13.0403
2018-07-02 00:00:00,300374.SZ,1700.0,11.4916
2018-07-02 00:00:00,600251.SH,4100.0,4.8648
2018-07-02 00:00:00,600268.SH,7200.0,2.7447
2018-07-02 00:00:00,600439.SH,5900.0,3.3442
2018-07-02 00:00:00,603768.SH,1400.0,13.6715
2018-07-12 00:00:00,000980.SZ,2800.0,7.07
2018-07-12 00:00:00,300492.SZ,3000.0,6.5199
2018-07-12 00:00:00,600172.SH,4800.0,4.12
2018-07-12 00:00:00,600530.SH,3700.0,5.3234
2018-07-12 00:00:00,600615.SH,2700.0,7.1686
2018-07-12 00:00:00,600996.SH,2800.0,7.14
2018-07-12 00:00:00,601002.SH,3600.0,5.4808
2018-07-12 00:00:00,603159.SH,1400.0,13.8101
2018-07-18 00:00:00,603628.SH,2100.0,9.4521
2018-07-25 00:00:00,603069.SH,2200.0,8.9781
2018-08-07 00:00:00,600722.SH,7800.0,6.27
2018-08-16 00:00:00,600250.SH,2700.0,7.39
2018-09-04 00:00:00,600416.SH,2900.0,6.79
2018-09-19 00:00:00,603389.SH,3200.0,14.1154
2018-09-21 00:00:00,600883.SH,3200.0,6.1043
2018-09-21 00:00:00,603315.SH,1700.0,11.2701
2018-10-10 00:00:00,002212.SZ,1800.0,11.0704
2018-10-10 00:00:00,002227.SZ,1800.0,10.8763
2018-10-10 00:00:00,002870.SZ,1300.0,14.8103
2018-10-15 00:00:00,002175.SZ,6000.0,3.31
2018-10-15 00:00:00,002766.SZ,3200.0,6.14
2018-10-15 00:00:00,300259.SZ,9200.0,2.1608
2018-10-15 00:00:00,300278.SZ,3000.0,6.508
2018-10-15 00:00:00,603578.SH,2100.0,9.1057
2018-10-17 00:00:00,002054.SZ,4600.0,4.2662
2018-10-17 00:00:00,002263.SZ,16200.0,1.23
2018-10-17 00:00:00,002638.SZ,7700.0,2.57
2018-10-17 00:00:00,002771.SZ,2300.0,8.423
2018-10-17 00:00:00,300629.SZ,1900.0,10.0955
2018-10-17 00:00:00,600493.SH,4700.0,4.2235
2018-10-17 00:00:00,603129.SH,1300.0,15.2981
2018-10-26 00:00:00,000933.SZ,5900.0,3.3552
2018-10-26 00:00:00,002033.SZ,4200.0,4.6965
2018-10-26 00:00:00,002114.SZ,2900.0,6.85
2018-10-26 00:00:00,002218.SZ,7500.0,2.6578
2018-10-26 00:00:00,300022.SZ,5600.0,3.53
2018-10-26 00:00:00,300213.SZ,4000.0,4.9524
2018-10-26 00:00:00,600807.SH,8800.0,2.26
2018-10-26 00:00:00,603099.SH,2300.0,8.3409
2018-11-02 00:00:00,002263.SZ,28900.0,1.57
2018-11-06 00:00:00,600493.SH,8500.0,5.1682
2018-11-07 00:00:00,002054.SZ,8000.0,5.7409
2018-11-15 00:00:00,002638.SZ,14100.0,3.11
2018-11-16 00:00:00,603578.SH,3900.0,10.9176
2018-11-19 00:00:00,300213.SZ,7300.0,5.9278
2018-11-19 00:00:00,600807.SH,15700.0,2.88
2018-11-22 00:00:00,002114.SZ,5200.0,8.44
2018-11-23 00:00:00,002766.SZ,5900.0,7.32
2018-11-29 00:00:00,002175.SZ,11200.0,3.78
2018-12-26 00:00:00,600764.SH,900.0,21.9399
2018-12-26 00:00:00,603289.SH,2800.0,7.0877
2019-01-02 00:00:00,600615.SH,5000.0,8.609
2019-01-08 00:00:00,300259.SZ,16800.0,2.6113
2019-01-17 00:00:00,002796.SZ,2500.0,17.2626
2019-01-31 00:00:00,601177.SH,4700.0,9.7008
2019-02-01 00:00:00,300420.SZ,9800.0,4.3844
2019-02-11 00:00:00,002212.SZ,3200.0,13.6053
2019-02-22 00:00:00,000737.SZ,12300.0,3.7207
2019-02-25 00:00:00,300492.SZ,5200.0,8.8712
2019-02-25 00:00:00,603606.SH,6800.0,6.5308
2019-03-12 00:00:00,000933.SZ,10700.0,4.1025
2019-03-12 00:00:00,002227.SZ,3200.0,13.9967
2019-03-12 00:00:00,300076.SZ,7500.0,6.0463
2019-03-13 00:00:00,300629.SZ,3600.0,11.7407
2019-03-14 00:00:00,600996.SH,4800.0,9.8982
2019-03-14 00:00:00,603129.SH,2300.0,18.452
2019-03-14 00:00:00,603289.SH,4800.0,9.7866
2019-03-14 00:00:00,603315.SH,3100.0,13.9411
2019-03-21 00:00:00,002218.SZ,12800.0,3.7539
2019-03-21 00:00:00,300022.SZ,9700.0,4.8
2019-03-21 00:00:00,600237.SH,10000.0,4.5444
2019-03-22 00:00:00,600883.SH,5800.0,7.6065
2019-03-25 00:00:00,300278.SZ,5400.0,8.1048
2019-03-25 00:00:00,600764.SH,1500.0,32.0725
2019-04-11 00:00:00,603099.SH,4000.0,11.416
2019-05-28 00:00:00,002771.SZ,4200.0,10.4376
2019-06-12 00:00:00,600251.SH,7100.0,6.5586
2019-07-09 00:00:00,002766.SZ,8500.0,2.35
2019-08-13 00:00:00,002536.SZ,5000.0,3.9869
2019-08-21 00:00:00,603811.SH,8500.0,5.1278
2019-09-02 00:00:00,002536.SZ,8800.0,5.1386
2019-09-17 00:00:00,300509.SZ,6300.0,6.8729
2019-09-17 00:00:00,600261.SH,14000.0,3.1683
2019-10-15 00:00:00,601139.SH,6900.0,6.5457
2019-10-30 00:00:00,002006.SZ,4500.0,4.4243
2019-10-30 00:00:00,002445.SZ,16100.0,1.24
2019-10-30 00:00:00,002629.SZ,12900.0,1.54
2019-10-30 00:00:00,002739.SZ,1300.0,15.04
2019-10-30 00:00:00,300068.SZ,1800.0,10.6203
2019-10-30 00:00:00,300101.SZ,2200.0,8.8235
2019-10-30 00:00:00,603663.SH,4300.0,4.6113
2019-10-30 00:00:00,688188.SH,600.0,30.6975
2019-11-11 00:00:00,000752.SZ,5300.0,3.75
2019-11-11 00:00:00,002256.SZ,8400.0,2.38
2019-11-11 00:00:00,002943.SZ,1900.0,10.3336
2019-11-11 00:00:00,300758.SZ,2200.0,9.0016
2019-11-11 00:00:00,600518.SH,6100.0,3.2579
2019-11-11 00:00:00,600666.SH,19500.0,1.0211
2019-11-11 00:00:00,688009.SH,3500.0,5.6796
2019-12-17 00:00:00,300758.SZ,3900.0,11.3439
2020-01-07 00:00:00,000752.SZ,9400.0,4.86
2020-01-07 00:00:00,002766.SZ,14100.0,3.52
2020-01-07 00:00:00,600666.SH,32700.0,1.5127
2020-01-07 00:00:00,688188.SH,1100.0,37.8643
2020-01-22 00:00:00,002739.SZ,2300.0,18.59
2020-01-23 00:00:00,300101.SZ,4000.0,11.012
2020-02-03 00:00:00,601077.SH,5100.0,3.8841
2020-02-03 00:00:00,601658.SH,5000.0,3.9584
2020-02-03 00:00:00,601916.SH,7000.0,2.8331
2020-02-06 00:00:00,002629.SZ,21500.0,2.3
2020-02-13 00:00:00,300068.SZ,3300.0,12.8375
2020-02-21 00:00:00,600416.SH,4900.0,9.55
2020-02-25 00:00:00,002006.SZ,8100.0,5.4586
2020-02-25 00:00:00,002943.SZ,3300.0,14.0753
2020-04-07 00:00:00,600033.SH,9200.0,2.1541
2020-04-07 00:00:00,600099.SH,3200.0,6.1003
2020-04-07 00:00:00,600151.SH,4500.0,4.44
2020-04-07 00:00:00,600185.SH,4700.0,4.2075
2020-04-07 00:00:00,600217.SH,3800.0,5.1792
2020-04-07 00:00:00,600231.SH,9600.0,2.0804
2020-04-07 00:00:00,600435.SH,2600.0,7.477
2020-04-07 00:00:00,600691.SH,10500.0,1.9
2020-04-07 00:00:00,600734.SH,11800.0,1.6816
2020-04-07 00:00:00,600758.SH,5900.0,3.3597
2020-04-07 00:00:00,600831.SH,2400.0,8.2815
2020-04-07 00:00:00,600841.SH,3100.0,6.4212
2020-04-07 00:00:00,600895.SH,1600.0,11.8669
